ID;Term;Order;Pos X;Pos Y;Pos Z;First reaction time;Number of edits;Total reaction time;Hand
PCZ001;depresivní;6;-0.1222126;-0.02296653;0.09566563;4.854126;0;4.854126;P
PCZ001;neuvěřitelný;1;0.1465039;0.003709644;-0.06996614;15.11624;0;15.11624;P
PCZ001;nadšený;20;0.0481934;0.09997396;-0.1077613;5.721558;0;5.721558;P
PCZ001;fantastický;17;0.1674685;0.05542116;-0.09573941;10.0419;0;10.0419;P
PCZ001;spokojený;26;0.01054001;0.06280439;-0.1504748;6.588928;0;6.588928;P
PCZ001;přátelský;2;0.1880861;-0.02308574;-0.1168792;10.0419;0;10.0419;P
PCZ001;pohodový;4;-0.01928405;-0.0877946;-0.04329823;5.321167;0;5.321167;P
PCZ001;uvolněný;22;-0.1179753;-0.1147871;-0.1322121;6.639008;0;6.639008;P
PCZ001;příjemný;28;-0.0567281;0.01752445;-0.180759;3.736633;0;3.736633;P
PCZ001;poklidný;27;0.03678621;-0.02204338;-0.188601;3.869995;0;3.869995;P
PCZ001;prudký;15;0.007871493;0.05262558;0.1780566;6.655701;0;6.655701;P
PCZ001;extrémní;18;-0.1827385;0.05559634;0.1141505;12.37723;0;12.37723;P
PCZ001;mohutný;14;0.002924145;0.01744539;-0.009458803;6.188599;0;6.188599;P
PCZ001;neutrální;19;0.007351561;-0.08007163;-0.04717623;6.722412;0;6.722412;P
PCZ001;střední;10;0.01623872;-0.07635403;-0.005168381;5.137695;0;5.137695;P
PCZ001;skleslý;11;-0.05294037;-0.1435826;0.129647;5.121033;0;5.121033;P
PCZ001;obyčejný;29;0.009966276;-0.04112691;-0.01503414;3.719849;0;3.719849;P
PCZ001;bezradný;12;0.1057274;-0.1319276;0.09987703;5.070984;0;5.070984;P
PCZ001;drsný;8;0.03019951;-0.05603039;0.1725649;9.391327;0;9.391327;P
PCZ001;pochmurný;16;-0.0197327;-0.05344269;0.1811127;8.523926;0;8.523926;P
PCZ001;nedůvěřivý;13;-0.1356479;0.002224028;0.1024326;6.272003;0;6.272003;P
PCZ001;agresivní;24;0.1036585;0.1793154;0.1704811;6.972595;0;6.972595;P
PCZ001;zamračený;5;0.08404294;-0.1095986;0.1184825;7.056;0;7.056;P
PCZ001;nepříjemný;25;-0.1961711;0.04970127;0.01253564;5.271118;0;5.271118;P
PCZ001;zuřivý;21;0.1541561;0.1680634;0.1428698;6.205292;0;6.205292;P
PCZ001;nudný;30;0.007533049;-0.1469735;0.006405231;6.522217;0;6.522217;P
PCZ001;zvyklý;7;0.009840458;-0.1314858;0.08026221;5.588104;0;5.588104;P
PCZ001;spící;3;0.01213539;-0.1664366;-0.04239649;4.87085;0;4.87085;P
PCZ001;hrozivý;23;-0.05685799;0.1289695;0.1538714;8.140259;0;8.140259;P
PCZ001;běžný;9;-0.004430901;-0.1520968;0.05089382;6.255341;0;6.255341;P
PCZ002;příjemný;10;-0.004493378;0.1012395;-0.1412048;23.3866;0;23.3866;P
PCZ002;mohutný;20;0.09163433;0.1489524;-0.1352927;5.971741;0;5.971741;P
PCZ002;extrémní;13;-0.1176335;0.1746379;0.03976322;16.84772;0;16.84772;P
PCZ002;prudký;25;-0.1015142;0.07256077;-0.07498097;6.071777;0;6.071777;P
PCZ002;poklidný;21;0.04581368;0.03363761;-0.1438866;11.87677;0;11.87677;P
PCZ002;neuvěřitelný;19;0.06095188;0.1091432;-0.02683691;10.94269;0;10.94269;P
PCZ002;přátelský;23;0.1274985;0.09983085;-0.1156521;12.91101;0;12.91101;P
PCZ002;spokojený;28;0.1234556;0.0887178;-0.144063;8.724121;0;8.724121;P
PCZ002;fantastický;22;0.1170424;0.1926069;-0.06499177;5.905029;0;5.905029;P
PCZ002;nadšený;27;0.1624785;0.1388353;-0.1435547;14.06201;0;14.06201;P
PCZ002;neutrální;11;-0.003287757;0.04705921;-0.05928064;8.440491;0;8.440491;P
PCZ002;pohodový;17;0.0556776;0.06398366;-0.1420293;8.607361;0;8.607361;P
PCZ002;střední;1;-0.008527368;0.002818376;-0.06245775;26.95963;0;26.95963;P
PCZ002;uvolněný;12;0.1325486;0.1387532;-0.1415029;12.19373;0;12.19373;P
PCZ002;běžný;24;0.04806704;0.07363157;-0.1197453;3.402893;0;3.402893;P
PCZ002;obyčejný;14;-0.0002013199;0.1354033;-0.04397857;20.16711;0;20.16711;P
PCZ002;skleslý;26;-0.09314918;-0.1200004;-0.02747131;6.70575;0;6.70575;P
PCZ002;bezradný;3;0.1659286;-0.1647621;-0.01845073;10.99268;0;10.99268;P
PCZ002;drsný;6;0.0731926;0.04386342;-0.08616315;17.98199;0;17.98199;P
PCZ002;pochmurný;5;-0.1216455;-0.08455703;0.01326422;15.64667;0;15.64667;P
PCZ002;zamračený;29;-0.1298423;0.05305211;-0.08092297;5.137756;0;5.137756;P
PCZ002;nedůvěřivý;2;-0.1196244;-0.1772693;-0.1217256;8.123627;0;8.123627;P
PCZ002;depresivní;9;0.1809393;-0.1689004;-0.1577486;15.02948;0;15.02948;P
PCZ002;hrozivý;15;-0.1182061;0.09949349;-0.01807805;12.07684;1;15.61322;P
PCZ002;nepříjemný;8;-0.1373447;0.08537368;-0.07075696;32.62775;0;32.62775;P
PCZ002;zuřivý;4;0.1140476;0.1223959;-0.04812844;23.70355;0;23.70355;P
PCZ002;nudný;7;0.0009613137;-0.0157395;0.09303564;14.31226;0;14.31226;P
PCZ002;zvyklý;30;0.05131495;0.0911641;-0.03537239;7.523071;0;7.523071;P
PCZ002;agresivní;18;-0.1302474;0.1250561;-0.1500594;7.706665;0;7.706665;P
PCZ002;spící;16;0.1586292;-0.1870901;-0.1295117;10.25873;0;10.25873;P
PCZ003;neutrální;20;0.002425195;0.05791806;-0.05327037;6.588989;0;6.588989;P
PCZ003;mohutný;8;-0.1835363;0.1809114;-0.09463312;13.92859;0;13.92859;P
PCZ003;extrémní;23;-0.007489863;0.1825907;0.003235637;5.187744;0;5.187744;P
PCZ003;prudký;6;0.1483379;0.09359048;0.1048524;11.86011;0;11.86011;P
PCZ003;poklidný;2;-0.1184315;-0.1577839;-0.1970404;12.72766;1;17.93201;P
PCZ003;pohodový;29;-0.008726735;0.04835895;-0.1122136;7.856812;0;7.856812;P
PCZ003;uvolněný;21;0.002920601;0.01428404;-0.1776918;9.52478;0;9.52478;P
PCZ003;přátelský;25;0.07311163;0.06860052;-0.1687349;7.589844;0;7.589844;P
PCZ003;spokojený;5;-0.02523016;0.1231332;-0.08116864;6.65564;0;6.65564;P
PCZ003;fantastický;13;-0.002704018;0.1462999;-0.137425;6.005249;0;6.005249;P
PCZ003;nadšený;11;0.1334781;0.1444388;-0.1245445;9.674927;0;9.674927;P
PCZ003;střední;16;-0.009040945;0.06357966;-0.0351415;6.789063;0;6.789063;P
PCZ003;příjemný;17;-0.009826605;0.0277898;-0.1061189;9.191162;0;9.191162;P
PCZ003;běžný;12;-0.00039179;0.04344893;-0.03858492;6.972534;0;6.972534;P
PCZ003;neuvěřitelný;7;-0.001434079;0.1822706;-0.01292996;10.54224;0;10.54224;P
PCZ003;spící;9;-0.01273785;-0.1599682;-0.02483721;9.658325;0;9.658325;P
PCZ003;zvyklý;27;-0.008928276;-0.1109714;-0.09218197;6.405518;0;6.405518;P
PCZ003;nudný;24;-0.01120046;-0.1394827;0.04465737;5.738159;0;5.738159;P
PCZ003;zuřivý;14;0.08731612;0.1955812;0.05550495;16.51404;1;21.70178;P
PCZ003;nepříjemný;15;-0.002815376;0.1862084;0.04442954;7.389648;0;7.389648;P
PCZ003;hrozivý;10;-0.002773032;0.1988987;0.07123358;12.97766;0;12.97766;P
PCZ003;nedůvěřivý;3;0.1022592;-0.0780443;0.05648899;8.790771;0;8.790771;P
PCZ003;zamračený;26;-0.1479324;0.01872405;-0.0365552;6.805786;0;6.805786;P
PCZ003;pochmurný;4;-0.1095712;-0.02865928;0.04039582;9.458008;0;9.458008;P
PCZ003;drsný;30;0.1053337;0.1027741;0.04307815;7.055908;0;7.055908;P
PCZ003;bezradný;19;-0.1684003;-0.1524579;-0.02741005;5.45459;0;5.45459;P
PCZ003;skleslý;18;-0.005663183;-0.1439837;-0.04574194;8.056885;0;8.056885;P
PCZ003;depresivní;22;-0.05485842;-0.06867075;0.0420355;7.122803;0;7.122803;P
PCZ003;obyčejný;28;-0.002634907;0.05212651;-0.02716925;5.120972;0;5.120972;P
PCZ003;agresivní;1;-0.01126227;0.1791261;0.02063853;16.16711;0;16.16711;P
PCM004;depresivní;21;-0.1860015;-0.02172652;-0.1516235;12.17676;0;12.17676;P
PCM004;běžný;28;0.002953025;-0.1758382;0.001652281;10.04102;0;10.04102;P
PCM004;spokojený;9;-0.1012335;-0.1496693;0.1500694;16.46387;0;16.46387;P
PCM004;přátelský;2;0.01237075;-0.009564996;0.11229;16.78125;0;16.78125;P
PCM004;pohodový;13;-0.1034834;-0.02094147;0.1142053;12.79395;1;17.06348;P
PCM004;uvolněný;27;-0.1604864;0.004326403;0.108877;10.05859;0;10.05859;P
PCM004;příjemný;8;-0.1465611;0.02162883;0.1037682;26.43945;0;26.43945;P
PCM004;poklidný;1;-0.001977774;-0.134877;0.1330478;26.50977;1;33.83301;P
PCM004;prudký;24;0.1443472;0.1339241;-0.1481099;16.33105;1;20.71777;P
PCM004;extrémní;23;-0.0018527;0.1624577;-0.04964684;19.5166;0;19.5166;P
PCM004;mohutný;11;0.008340085;0.1750265;-0.008604481;13.24414;0;13.24414;P
PCM004;neutrální;19;-0.001841001;-0.1718886;-0.007361808;11.79395;0;11.79395;P
PCM004;střední;16;0.003532077;0.01132536;-0.03379291;9.858398;0;9.858398;P
PCM004;neuvěřitelný;6;0.1264756;0.1586941;0.08262255;13.8623;0;13.8623;P
PCM004;fantastický;15;0.0588573;0.07646154;0.04919477;16.51367;0;16.51367;P
PCM004;obyčejný;4;0.005566836;-0.03497797;-0.01621288;12.44336;0;12.44336;P
PCM004;zvyklý;18;0.1681243;-0.003688544;-0.01161279;23.70313;0;23.70313;P
PCM004;nudný;5;0.003623151;-0.1913239;-0.1395839;26.90625;0;26.90625;P
PCM004;zuřivý;12;0.1403184;0.1233726;-0.1609356;15.17969;0;15.17969;P
PCM004;nepříjemný;3;0.02576586;-0.1718592;-0.1798603;12.31055;0;12.31055;P
PCM004;hrozivý;7;-0.002616395;0.1220261;-0.1231036;9.191406;0;9.191406;P
PCM004;agresivní;30;0.05867231;0.1351179;-0.1436402;19.04883;0;19.04883;P
PCM004;nedůvěřivý;20;0.1641053;0.1463485;-0.1506702;7.990234;0;7.990234;P
PCM004;zamračený;29;-0.0002456821;-0.1761121;-0.07901563;6.805664;0;6.805664;P
PCM004;pochmurný;26;-0.167161;-0.1687703;-0.1634959;28.19043;0;28.19043;P
PCM004;drsný;25;0.1180482;0.1124713;-0.04221136;16.71387;0;16.71387;P
PCM004;bezradný;22;-0.1574597;-0.1718641;-0.1672146;8.924805;0;8.924805;P
PCM004;skleslý;14;-0.1431506;0.1399746;-0.03174504;17.98242;0;17.98242;P
PCM004;spící;17;-0.1280909;-0.1201964;0.02821068;20.91797;0;20.91797;P
PCM004;nadšený;10;0.149522;0.1232646;0.1154744;15.98047;0;15.98047;P
PCZ005;fantastický;28;-0.001856439;0.1240603;-0.1767108;4.9375;0;4.9375;P
PCZ005;nadšený;11;0.001238372;0.1710574;-0.1131882;6.722412;0;6.722412;P
PCZ005;obyčejný;24;0.002787351;-0.1453208;-0.02134594;6.038574;0;6.038574;P
PCZ005;přátelský;3;0.004152843;0.07310025;-0.1977734;9.774902;1;21.50159;P
PCZ005;uvolněný;14;0.004938181;-0.1972655;-0.1633036;10.57568;1;12.71082;P
PCZ005;příjemný;7;0.01091895;0.03228012;-0.1904695;20.36731;0;20.36731;P
PCZ005;poklidný;15;0.01279769;-0.1852662;-0.1700498;4.787476;0;4.787476;P
PCZ005;prudký;29;0.01625906;0.1432811;-0.1462218;6.705811;0;6.705811;P
PCZ005;extrémní;25;-0.003515175;0.1867491;0.003809479;5.00415;0;5.00415;P
PCZ005;mohutný;20;-0.0428275;0.05321901;-0.02440101;77.38257;0;77.38257;P
PCZ005;neutrální;5;0.005567188;-0.03991196;-0.008765509;6.705688;0;6.705688;P
PCZ005;střední;8;-0.001895951;-0.04069254;-0.02958737;5.254517;0;5.254517;P
PCZ005;běžný;30;-0.006293345;-0.1759936;-0.1285915;3.536133;0;3.536133;P
PCZ005;neuvěřitelný;22;-0.1463142;0.1666007;-0.01018878;9.975098;0;9.975098;P
PCZ005;spící;23;4.950866e-05;-0.1807869;-0.01453072;7.940186;0;7.940186;P
PCZ005;zvyklý;16;0.1640934;-0.1680702;-0.1817043;5.404663;0;5.404663;P
PCZ005;spokojený;27;-0.0004621248;-0.194933;-0.165133;7.523193;0;7.523193;P
PCZ005;nudný;4;-0.1431347;-0.1200275;0.08454019;7.272827;0;7.272827;P
PCZ005;zuřivý;17;-0.002791102;0.1773323;0.05511564;5.404663;1;15.8136;P
PCZ005;nepříjemný;18;0.1537458;-0.1163341;0.08613424;4.787354;0;4.787354;P
PCZ005;hrozivý;12;-0.108502;0.1357313;0.1929175;10.17542;0;10.17542;P
PCZ005;agresivní;2;0.007122854;-0.0003767312;0.04363138;12.52734;0;12.52734;P
PCZ005;nedůvěřivý;19;-0.00254625;-0.1901957;0.08837834;5.671509;0;5.671509;P
PCZ005;zamračený;21;0.01135533;0.05478708;0.163009;12.97754;0;12.97754;P
PCZ005;pochmurný;26;0.009853591;-0.1482226;0.1185622;4.804199;0;4.804199;P
PCZ005;drsný;1;-0.001430007;-0.1693173;0.009904391;15.8501;0;15.8501;P
PCZ005;bezradný;10;0.00372042;0.1246368;0.1719875;6.722412;0;6.722412;P
PCZ005;skleslý;13;0.001909467;-0.1992831;-0.004234943;4.603882;0;4.603882;P
PCZ005;depresivní;6;0.009245983;-0.1425329;0.1858378;17.18127;0;17.18127;P
PCZ005;pohodový;9;0.00398112;0.1777933;-0.08646651;7.3396;0;7.3396;P
PCZ006;drsný;16;0.01577169;0.1046606;0.133184;14.24548;0;14.24548;P
PCZ006;pochmurný;4;-0.1356249;-0.1566341;-0.06872798;16.11365;0;16.11365;P
PCZ006;bezradný;26;-0.1694839;0.113037;-0.0952437;9.191162;0;9.191162;P
PCZ006;zamračený;30;-0.1441562;-0.1409517;0.008246413;14.32898;0;14.32898;P
PCZ006;nedůvěřivý;2;-0.1061451;-0.02430946;0.06627442;15.84692;1;35.83057;P
PCZ006;agresivní;3;-0.1172548;0.07002459;0.1226642;8.273682;0;8.273682;P
PCZ006;hrozivý;18;-0.1296527;0.1119417;-0.003651802;12.64417;0;12.64417;P
PCZ006;nepříjemný;23;-0.1525402;-0.00839889;-0.1532013;5.85498;0;5.85498;P
PCZ006;zuřivý;29;-0.1483361;0.08817832;0.1026008;12.0603;0;12.0603;P
PCZ006;nudný;22;-0.06237804;-0.1608805;-0.1552453;8.540649;0;8.540649;P
PCZ006;zvyklý;8;0.08190779;-0.1385569;-0.0956826;11.3429;0;11.3429;P
PCZ006;spící;14;-0.01009274;-0.0564608;-0.1073247;12.84436;0;12.84436;P
PCZ006;obyčejný;28;0.01589657;-0.1556057;-0.1578615;9.858398;0;9.858398;P
PCZ006;běžný;25;-0.00243903;-0.03666309;-0.1475429;11.92688;0;11.92688;P
PCZ006;střední;27;-0.0004637518;-0.07309052;-0.1643833;11.72668;0;11.72668;P
PCZ006;neutrální;11;0.006682388;-0.06959635;-0.1333964;9.12439;0;9.12439;P
PCZ006;mohutný;7;0.006740819;0.1246934;0.06288962;13.01111;0;13.01111;P
PCZ006;extrémní;13;0.008280405;0.131435;0.09890342;11.50977;0;11.50977;P
PCZ006;prudký;24;-0.003969771;0.1481733;0.02418774;10.37549;2;21.76855;P
PCZ006;poklidný;19;0.1321066;-0.0509558;-0.148958;11.84338;0;11.84338;P
PCZ006;příjemný;5;0.135927;-0.03606835;-0.1237949;12.66077;0;12.66077;P
PCZ006;uvolněný;1;0.1639763;0.006660759;-0.0466452;21.08801;0;21.08801;P
PCZ006;pohodový;15;0.1380258;-0.07995066;-0.1396878;16.38062;0;16.38062;P
PCZ006;přátelský;10;0.1599195;-0.03383264;0.02871581;19.78357;0;19.78357;P
PCZ006;spokojený;20;0.1803656;0.03460872;-0.1336669;11.99353;0;11.99353;P
PCZ006;fantastický;9;0.1334882;0.1585718;0.06784444;11.30969;0;11.30969;P
PCZ006;nadšený;6;0.1778763;0.08481865;0.1100836;12.46057;0;12.46057;P
PCZ006;neuvěřitelný;17;0.08448096;0.04597369;0.181128;12.64417;0;12.64417;P
PCZ006;skleslý;12;-0.1585293;-0.1288148;-0.156358;10.77588;0;10.77588;P
PCZ006;depresivní;21;-0.148907;0.151396;-0.01557191;12.66077;0;12.66077;P
PCZ007;střední;20;0.03558234;-0.07430825;0.09722923;6.789063;0;6.789063;P
PCZ007;fantastický;21;-0.03924011;0.09557484;0.002322156;5.120972;0;5.120972;P
PCZ007;skleslý;10;0.007472473;-0.09144419;0.1113627;6.588989;0;6.588989;P
PCZ007;bezradný;8;-0.02447436;-0.1859673;0.1308597;5.78833;0;5.78833;P
PCZ007;drsný;15;-0.005353574;-0.1895297;0.09048824;4.854004;0;4.854004;P
PCZ007;pochmurný;19;0.1275928;-0.1516089;-0.01374875;6.388794;0;6.388794;P
PCZ007;zamračený;7;0.03428186;-0.1348301;0.1335763;5.988403;0;5.988403;P
PCZ007;nedůvěřivý;16;-0.1177269;-0.1921752;-0.004849695;5.721436;0;5.721436;P
PCZ007;agresivní;13;0.1450544;-0.1975248;0.06792846;6.655762;0;6.655762;P
PCZ007;hrozivý;24;0.01249014;-0.184662;0.04291103;4.003418;0;4.003418;P
PCZ007;nepříjemný;22;0.0004309865;-0.1726933;-0.0404146;6.338745;0;6.338745;P
PCZ007;zuřivý;28;-0.08061692;-0.1298297;-0.1187976;5.721558;0;5.721558;P
PCZ007;nudný;2;-0.04417379;-0.1889894;0.07206542;12.86096;0;12.86096;P
PCZ007;zvyklý;6;0.0483845;-0.09068742;0.08836588;8.657349;0;8.657349;P
PCZ007;spící;12;0.003746893;-0.1019327;0.1051729;6.271973;0;6.271973;P
PCZ007;obyčejný;14;0.0007130055;-0.06147105;0.07649527;5.454712;0;5.454712;P
PCZ007;běžný;26;0.02950934;-0.05782795;0.06569548;4.52063;0;4.52063;P
PCZ007;neutrální;4;-0.002361269;-0.02950898;0.01557742;9.791626;0;9.791626;P
PCZ007;mohutný;25;-0.02415298;-0.05820841;0.03310044;7.272827;0;7.272827;P
PCZ007;extrémní;29;-0.04379525;0.02668056;-0.01232435;7.940186;0;7.940186;P
PCZ007;prudký;11;-0.1178065;-0.1387431;0.04342866;13.92859;0;13.92859;P
PCZ007;poklidný;23;-0.01035274;-0.008754909;0.03950667;5.27124;0;5.27124;P
PCZ007;příjemný;30;0.05569269;0.1347257;0.009868044;5.521362;0;5.521362;P
PCZ007;uvolněný;9;-0.00137169;0.07368736;0.06775102;5.921631;0;5.921631;P
PCZ007;pohodový;5;-0.07885801;0.0611475;0.02101493;6.855835;0;6.855835;P
PCZ007;přátelský;27;-0.01078601;0.09794872;0.02093522;6.538818;0;6.538818;P
PCZ007;spokojený;1;0.0001791221;0.1261938;0.09335878;36.21765;0;36.21765;P
PCZ007;nadšený;17;-0.07390168;0.07770602;-0.01245349;5.871704;0;5.871704;P
PCZ007;depresivní;3;0.07726356;-0.1972034;0.1013547;6.789063;0;6.789063;P
PCZ007;neuvěřitelný;18;0.005741565;0.0840141;0.05212726;5.387939;0;5.387939;P
PCZ008;depresivní;3;0.001820067;-0.1750691;-0.011034;24.17059;1;31.15991;P
PCZ008;fantastický;17;0.04363243;0.1632614;-0.0973791;4.920776;0;4.920776;P
PCZ008;spokojený;16;-0.004696283;0.1728389;-0.02837343;8.657349;0;8.657349;P
PCZ008;přátelský;5;0.008417004;0.1462225;-0.1729605;17.84851;1;51.54382;P
PCZ008;pohodový;20;0.03021343;-0.08236766;-0.071134;7.990112;0;7.990112;P
PCZ008;uvolněný;21;0.01245216;-0.06322059;-0.04145816;17.38135;0;17.38135;P
PCZ008;příjemný;7;0.0259742;0.1575942;-0.1119277;27.7569;0;27.7569;P
PCZ008;poklidný;15;-0.006320261;-0.158921;-0.02634356;6.805786;0;6.805786;P
PCZ008;prudký;11;-0.1208928;0.1430377;-0.1713094;46.20593;0;46.20593;P
PCZ008;extrémní;9;0.09740852;0.1661652;-0.1103753;6.238647;0;6.238647;P
PCZ008;mohutný;8;0.00075011;0.150652;-0.006216339;7.3396;1;17.34814;P
PCZ008;neutrální;28;-0.005756776;0.02607131;-0.0802781;6.322021;0;6.322021;P
PCZ008;střední;13;-0.0009419014;0.03219229;-0.06974107;10.0752;0;10.0752;P
PCZ008;nadšený;26;-0.002747516;0.1748926;-0.07879825;5.588135;0;5.588135;P
PCZ008;běžný;6;-0.003213889;0.04696843;-0.1001908;16.11359;0;16.11359;P
PCZ008;spící;18;-0.1482137;-0.1590136;0.02331281;14.46228;0;14.46228;P
PCZ008;zvyklý;12;-0.07405469;0.01096869;-0.1032217;11.97681;0;11.97681;P
PCZ008;nudný;22;-0.03766683;-0.1675006;-0.007049381;12.44385;0;12.44385;P
PCZ008;zuřivý;30;0.1575161;0.1035482;-0.04509107;6.522095;0;6.522095;P
PCZ008;nepříjemný;19;-0.03131332;-0.1843155;-0.1626486;18.98279;0;18.98279;P
PCZ008;hrozivý;23;0.1315026;0.1723495;0.06003726;12.2605;0;12.2605;P
PCZ008;agresivní;10;0.1046489;0.1624272;0.007456608;9.724854;1;17.46484;P
PCZ008;nedůvěřivý;1;-0.1598364;-0.1619066;0.1378529;22.6059;1;29.3783;P
PCZ008;zamračený;2;-0.001901677;-0.164264;-0.1169316;15.04614;0;15.04614;P
PCZ008;pochmurný;25;-0.006033069;-0.1732151;0.07661879;5.921753;0;5.921753;P
PCZ008;drsný;4;0.1754331;-0.008459896;-0.02385781;15.91351;0;15.91351;P
PCZ008;bezradný;29;-0.1625221;-0.1670362;-0.08939572;9.191162;0;9.191162;P
PCZ008;obyčejný;14;-0.01241489;0.02351815;-0.08305545;7.205811;0;7.205811;P
PCZ008;skleslý;27;0.002075533;-0.1756141;0.007836289;3.603149;0;3.603149;P
PCZ008;neuvěřitelný;24;-0.1385106;0.1836729;0.006560496;15.78003;0;15.78003;P
PCZ009;neuvěřitelný;27;-0.1857488;0.1493075;-0.0526654;7.323242;0;7.323242;P
PCZ009;drsný;4;-0.1367503;0.01436594;0.1340553;11.25879;0;11.25879;P
PCZ009;pochmurný;30;-0.1280133;-0.04497454;0.08153872;12.72754;0;12.72754;P
PCZ009;zamračený;13;-0.131832;-0.06532532;-0.04560718;5.137695;0;5.137695;P
PCZ009;nedůvěřivý;22;0.07688691;0.1415464;0.0264818;4.788086;0;4.788086;P
PCZ009;agresivní;10;0.1710729;0.08094297;-0.1076619;7.523438;0;7.523438;P
PCZ009;hrozivý;17;0.09213804;0.1596721;0.06783994;5.788086;0;5.788086;P
PCZ009;nepříjemný;9;-0.05857265;-0.1769821;-0.1656629;14.46289;0;14.46289;P
PCZ009;zuřivý;29;-0.0008503945;0.007178932;-0.1796561;7.990234;0;7.990234;P
PCZ009;nudný;3;0.04823997;-0.06380713;-0.07212483;8.574219;0;8.574219;P
PCZ009;zvyklý;11;-0.0002853885;-0.0222671;-0.05793225;4.470703;0;4.470703;P
PCZ009;spící;28;-0.1356199;-0.1733299;-0.1554317;12.06055;0;12.06055;P
PCZ009;obyčejný;21;0.004763116;-0.03028005;-0.01725061;4.404297;0;4.404297;P
PCZ009;depresivní;7;-0.1433945;-0.1535426;0.09343406;5.003906;0;5.003906;P
PCZ009;běžný;25;0.01008263;-0.03239018;-0.03150661;3.385742;0;3.385742;P
PCZ009;neutrální;23;0.00908994;0.03339428;-0.03549302;5.071289;0;5.071289;P
PCZ009;mohutný;24;0.008786143;0.1680906;0.02614108;3.719727;0;3.719727;P
PCZ009;extrémní;20;0.1851103;0.1656576;-0.1853368;11.59375;0;11.59375;P
PCZ009;prudký;5;0.1801621;0.1072221;0.1356873;7.939453;0;7.939453;P
PCZ009;poklidný;26;0.1077171;-0.02331373;-0.05818352;4.670898;0;4.670898;P
PCZ009;příjemný;18;-0.0514804;-0.07249931;-0.09665634;3.453125;0;3.453125;P
PCZ009;uvolněný;1;0.07621877;-0.1194379;-0.02935928;13.41504;0;13.41504;P
PCZ009;pohodový;16;-0.08597583;-0.03827727;-0.06000942;4.737305;0;4.737305;P
PCZ009;přátelský;15;-0.05040904;0.06141411;0.1037943;4.636719;0;4.636719;P
PCZ009;spokojený;12;0.1093062;0.05112301;-0.08456849;5.904297;0;5.904297;P
PCZ009;fantastický;8;0.1345945;0.09081285;0.1045112;7.123047;0;7.123047;P
PCZ009;nadšený;14;0.1185861;0.131643;0.02407467;4.737305;0;4.737305;P
PCZ009;střední;6;0.007165198;-0.1341636;0.05440955;8.574219;0;8.574219;P
PCZ009;bezradný;19;-0.176763;-0.1835916;0.1630579;7.806641;1;12.72754;P
PCZ009;skleslý;2;-0.1479528;-0.1595133;-0.1472522;15.51367;0;15.51367;P
PCM010;skleslý;15;-0.1455444;-0.1470816;-0.1726324;9.658203;0;9.658203;P
PCM010;depresivní;16;-0.1484113;-0.1191779;-0.1777994;11.05859;0;11.05859;P
PCM010;neuvěřitelný;17;0.0007500351;0.1676493;0.1438942;11.57617;0;11.57617;P
PCM010;nadšený;24;0.1658119;0.183221;0.1065139;3.103516;0;3.103516;P
PCM010;fantastický;28;0.1595973;0.1491552;0.1351177;9.574219;0;9.574219;P
PCM010;spokojený;22;0.1594937;0.1631549;-0.1161558;9.974609;0;9.974609;P
PCM010;přátelský;13;0.1462777;0.1747479;0.08954269;6.255859;0;6.255859;P
PCM010;pohodový;26;0.171719;0.1499694;-0.09117914;7.740234;0;7.740234;P
PCM010;uvolněný;19;0.163913;0.1265507;-0.1310987;10.72461;0;10.72461;P
PCM010;příjemný;9;0.1711574;0.143622;-0.08536588;8.324219;0;8.324219;P
PCM010;poklidný;6;0.1871996;0.1129819;-0.09127137;14.72852;0;14.72852;P
PCM010;prudký;18;0.1529539;0.1574968;0.01549125;9.724609;0;9.724609;P
PCM010;extrémní;25;0.1055665;0.179158;0.009667188;4.337891;0;4.337891;P
